Name,Municipality,County,Address,Student body count,Latitude,Longitude
Bjørkly skole,Namsos,Nord-Trøndelag,"Klinga, 7820 SPILLUM",,64.4664962,11.5063344
Namsos barneskole,Namsos,Nord-Trøndelag,"Emil Astrups Veg 1, 7800 NAMSOS",399,64.4699981,11.5137903
Vestbyen skole,Namsos,Nord-Trøndelag,"Kjell Hals Veg 50, 7800 NAMSOS",44,64.4710535,11.4696935
Namsos ungdomsskole,Namsos,Nord-Trøndelag,"Olav Duuns Veg 1, 7800 NAMSOS",92,64.4714489,11.5116603
Høknes ungdomsskole,Namsos,Nord-Trøndelag,"Dr. Batts Veg 10, 7800 NAMSOS",399,64.4724719,11.520431
Høknes barneskole,Namsos,Nord-Trøndelag,"Skoglyvn 3, 7800 NAMSOS",399,64.4734879,11.5362037
Grong barne- og ungdomsskole,Grong,Nord-Trøndelag,"Mediå, 7870 GRONG",20,64.4901192,12.5501444
Bergsmo Oppvekstsenter - Avdeling skole,Grong,Nord-Trøndelag,"Nesmoen, 7870 GRONG",52,64.4901192,12.5501444
Statland skole,Namdalseid,Nord-Trøndelag,"Nord-Statland, 7777 NORD-STATLAND",6,64.4942141,11.1473916
Lauvsnes skole,Flatanger,Nord-Trøndelag,"Lauvsnes, 7770 FLATANGER",105,64.4978858,10.897227
Otterøy skole,Namsos,Nord-Trøndelag,"Fosslandsosen, 7819 FOSSLANDSOSEN",11,64.540422,11.272385
Harran Oppvekstsenter - Avdeling skole,Grong,Nord-Trøndelag,"Harran, 7873 HARRAN",10,64.5685768,12.4940193
Sørenget skole,Namsos,Nord-Trøndelag,"Alhusstrand, 7800 NAMSOS",11,64.5698224,11.5901257
Flatanger Montessoriskole,Flatanger,Nord-Trøndelag,"Sørflatanger V/rektor, 7770 FLATANGER",4,64.5699999,10.6422949
Jøa barne- og ungdomsskole,Fosnes,Nord-Trøndelag,"Dun, 7856 JØA",71,64.6587872,11.2662906
Salsnes Oppvekstsenter - Grunnskole,Fosnes,Nord-Trøndelag,"Salsnes, 7817 SALSNES",2,64.7166667,11.4166667
Høylandet barne- og ungdomsskole,Høylandet,Nord-Trøndelag,"7977, HØYLANDET  ",87,64.7232143,12.3610189
Abelvær skole,Nærøy,Nord-Trøndelag,"Abelvær, 7950 ABELVÆR",22,64.7333333,11.1666667
Oplø Oppvekstsenter - Avdeling skole,Nærøy,Nord-Trøndelag,"7960, SALSBRUKET  ",28,64.799615,11.8668813
Røyrvik barne- og ungdomsskole,Røyrvik,Nord-Trøndelag,"7898, LIMINGEN  ",7,64.8260295,13.5175537
Nærøy ungdomsskole,Nærøy,Nord-Trøndelag,"Kolvereid, 7970 KOLVEREID",232,64.8643872,11.6010048
Kolvereid skole,Nærøy,Nord-Trøndelag,"Nordre Veg, 7970 KOLVEREID",59,64.8679192,11.596876
Rørvik skole,Vikna,Nord-Trøndelag,"Skolegata 46, 7900 RØRVIK",29,64.8686828,11.2368316
Nærøysundet skole,Nærøy,Nord-Trøndelag,"7940, OTTERSØY  ",60,64.8744833,11.3853904
Austafjord Oppvekstsenter - Avdeling skole,Vikna,Nord-Trøndelag,"Austafjord, 7900 RØRVIK",11,64.9167548,10.937545
Namsskogan skole,Namsskogan,Nord-Trøndelag,"Namsskogan, 7890 NAMSSKOGAN",7,64.9286856,13.1582008
Værum Private Oppvekstsenter,Nærøy,Nord-Trøndelag,"Måneset, 7970 KOLVEREID",25,64.9387242,11.4798067
Foldereid Oppvekstsenter - Avdeling skole,Nærøy,Nord-Trøndelag,"Foldereid, 7985 FOLDEREID",2,64.9630797,12.1783846
Gravvik Oppvekstsenter - Avdeling skole,Nærøy,Nord-Trøndelag,"Naustbukta, 7990 NAUSTBUKTA",28,64.9827417,11.765205
Leka barne- og ungdomsskole,Leka,Nord-Trøndelag,"Leka, 7994 LEKA",5,65.0854322,11.6126664
Terråk skole,Bindal,Nordland,"Rørgata 6, 7980 TERRÅK",3,65.0869161,12.3686871
Kjella Friskole,Bindal,Nordland,"Sørhorsfjord, 7982 BINDALSEIDET",23,65.1031831,11.9905072
Bindalseidet Friskole Ba,Bindal,Nordland,"Skoleveien 3, 7982 BINDALSEIDET",5,65.1273746,12.2320919
Vik skole,Sømna,Nordland,"8920, SØMNA  ",14,65.3083587,11.9918995
