Østfold;Hobøl;Hobøl kommune-hovedutvalg for oppvekst-omsorg;Kommunehuset, Elvestadveien 1000;1827;HOBØL;0
Østfold;Hobøl;Hobøl ungdomsskole;Skoleveien 15;1823;KNAPSTAD;211
Østfold;Hobøl;Knapstad skole;Skoleveien 17;1823;KNAPSTAD;145
Østfold;Hobøl;Ringvoll skole;Trollveien 16;1827;HOBØL;137
Østfold;Hobøl;Tomter skole;ENGEN 4;1825;TOMTER;182
Østfold;Hvaler ;Hvaler seksjon for opplæring og kultur;Rådhuset; ;;0
Østfold;Hvaler ;Floren skole;;1680;SKJÆRHALDEN;156
Østfold;Hvaler ;Hvaler ungdomsskole;Rød;1684;VESTERØY;161
Østfold;Hvaler ;Åttekanten skole;Vesterøy;1684;VESTERØY;162
Østfold;Marker;Marker skole, adminstrasjonen;Haldenveien 18 ;1871;ØRJE;0
Østfold;Marker;Marker skole;Haldenveien 18;1870;ØRJE;420
Østfold;Moss;Moss Skolestyre; ; ;;0
Østfold;Moss;Bytårnet skole;Fjellveien 1;1532;MOSS;435
Østfold;Moss;Grindvold skole;Bukkespranget 21;1535;MOSS;174
Østfold;Moss;Hoppern skole;Tronvikveien 36 A;1517;MOSS;378
Østfold;Moss;Jeløy skole;Fjellveien 1;1532;MOSS;34
Østfold;Moss;Kambo skole;Skolebakken 4;1538;MOSS;179
Østfold;Moss;Krapfoss skole;Anton Krogsvolds vei 4;1597;MOSS;215
Østfold;Moss;Melløs skole;Roald Amundsens gate 2;1524;MOSS;331
Østfold;Moss;Ramberg skole;Bjerkealleen 34;1512;MOSS;398
Østfold;Moss;Refsnes skole;Refsnesalleen 36;1518;MOSS;235
Østfold;Moss;Reier skole;Brageveien 9;1517;MOSS;246
Østfold;Moss;Verket skole;Osloveien 25;1534;MOSS;612
Østfold;Moss;Åvangen skole;Skredderveien 100;1537;MOSS;207
Østfold;Rakkestad;Oppvekst- og kulturadministrasjonen;Rådhusveien;1890;RAKKESTAD;0
Østfold;Rakkestad;Bergenhus skole;Storgata 61;1890;RAKKESTAD;336
Østfold;Rakkestad;Kirkeng skole;;1892;DEGERNES;114
Østfold;Rakkestad;Os skole;;1890;RAKKESTAD;244
Østfold;Rakkestad;Rakkestad ungdomsskole;Skoleveien 12;1890;RAKKESTAD;289
Østfold;Rygge;Rygge kommune ; Larkollveien 9; 1570 ;;0
Østfold;Rygge;Ekholt 1-10 skole;UNGDOMSVEIEN 25;1570;DILLING;216
Østfold;Rygge;Ekholt 1-10 skole;Ekholtveien 69;1526;MOSS;329
Østfold;Rygge;Halmstad barne- og ungdomsskole;SKOLEVEIEN 4;1580;RYGGE;511
Østfold;Rygge;Larkollen skole;Støtvigveien 59;1560;LARKOLLEN;162
